module,scale,analysis_layer,model,method,N,coverage,total_MAE,item_MAE,item_NAE,sum_item_AE,cancellation_ratio,delta_vs_C03,ci_low,ci_high,p,q
Direct Joint Cross-AI,PHQ-8,PHQ189 pooled,GLM-5.2,C03_GLM-5.2,189,1.0,3.253968253968254,0.583994708994709,0.1946649029982363,,0.2784187300060315,0.0,,,,
Direct Joint Cross-AI,PHQ-8,PHQ189 pooled,mixed,CrossAI_C03,189,1.0,3.556084656084656,0.5802248677248677,0.1934082892416225,,0.2146305839956633,0.3021164021164022,0.1751322751322751,0.4264550264550264,,9.999000099990002e-05
Direct Joint Cross-AI,PHQ-8,PHQ189 pooled,mixed,CrossAI_Conservative-C,189,1.0,3.547089947089946,0.5797619047619047,0.1932539682539682,,0.2154974919260633,0.2931216931216922,0.1703703703703704,0.4169444444444444,,9.999000099990002e-05
Direct Joint Cross-AI,PHQ-8,PHQ189 pooled,mixed,CrossAI_Joint-A,189,1.0,3.376190476190476,0.6066798941798941,0.202226631393298,,0.2879677876503273,0.1222222222222222,1.389247329755819e-17,0.2502645502645503,,0.055994400559944
Direct Joint Cross-AI,PHQ-8,PHQ189 pooled,mixed,CrossAI_Joint-B,189,1.0,3.51957671957672,0.5969576719576719,0.1989858906525573,,0.2487575475670713,0.2656084656084658,0.1306878306878306,0.4095238095238094,,0.0001999800019998
Direct Joint Cross-AI,PHQ-8,PHQ189 pooled,GLM-5.2,WithinAI_GLM-5.2_B,189,1.0,3.2507936507936512,0.605026455026455,0.2016754850088183,,0.3012884939869067,-0.0031746031746027,,,,
Stage2,PHQ-8,PHQ primary142,DeepSeek-V4-Pro,B,142,1.0,3.796478873239437,0.6389964788732394,0.2129988262910798,5.111971830985915,0.2201231983978462,-0.3866197183098592,-0.5944014084507042,-0.1873063380281691,0.0002999700029997,0.0007499250074992
Stage2,PHQ-8,PHQ primary142,GLM-5.2,B,142,1.0,3.2359154929577465,0.6224471830985916,0.2074823943661971,4.979577464788733,0.3125414608865313,-0.0457746478873239,-0.1718485915492957,0.0753521126760563,0.443955604439556,0.6942305769423057
Stage2,PHQ-8,PHQ primary142,Qwen3.7-Max,B,142,1.0,3.838732394366197,0.6138204225352113,0.2046068075117371,4.91056338028169,0.1891690703662534,-0.4429577464788732,-0.6556338028169014,-0.2415140845070424,0.0001999800019998,0.0004999500049995
Stage2,PHQ-8,PHQ primary142,DeepSeek-V4-Pro,C03,142,1.0,4.183098591549296,0.6355633802816901,0.2118544600938967,5.084507042253521,0.1606721134890149,0.0,0.0,0.0,1.0,
