analysis_layer,method,item_id,item_name,subject_n,item_MAE,item_NAE
HAMD17_available,WithinAI_GLM,6,早醒,99,0.41010101010101,0.205050505050505
HAMD17_available,WithinAI_GLM,7,工作和活动,99,0.592929292929293,0.14823232323232324
HAMD17_available,WithinAI_GLM,8,迟滞,99,0.6313131313131313,0.15782828282828282
HAMD17_available,WithinAI_GLM,9,激越,99,0.5767676767676768,0.1441919191919192
HAMD17_available,WithinAI_GLM,10,精神性焦虑,99,0.5131313131313132,0.1282828282828283
HAMD17_available,WithinAI_GLM,11,躯体性焦虑,99,0.5767676767676768,0.1441919191919192
HAMD17_available,WithinAI_GLM,12,胃肠道症状,99,0.20404040404040408,0.10202020202020204
HAMD17_available,WithinAI_GLM,13,全身症状,99,0.2676767676767677,0.13383838383838384
HAMD17_available,WithinAI_GLM,14,性症状,70,0.34031746031746035,0.17015873015873018
HAMD17_available,WithinAI_GLM,15,疑病,99,0.4414141414141414,0.11035353535353536
HAMD17_available,WithinAI_GLM,16,体重减轻,99,0.305050505050505,0.1525252525252525
HAMD17_available,WithinAI_GLM,17,自知力,99,0.34040404040404043,0.17020202020202022
HAMD17_available,WithinAI_Kimi,1,抑郁情绪,99,0.6696969696969697,0.16742424242424242
HAMD17_available,WithinAI_Kimi,2,有罪感,99,0.6363636363636365,0.15909090909090912
HAMD17_available,WithinAI_Kimi,3,自杀,99,0.6575757575757577,0.16439393939393943
HAMD17_available,WithinAI_Kimi,4,入睡困难,99,0.41414141414141414,0.20707070707070707
HAMD17_available,WithinAI_Kimi,5,睡眠不深,99,0.6343434343434344,0.3171717171717172
HAMD17_available,WithinAI_Kimi,6,早醒,99,0.42525252525252527,0.21262626262626264
HAMD17_available,WithinAI_Kimi,7,工作和活动,99,0.6444444444444444,0.1611111111111111
HAMD17_available,WithinAI_Kimi,8,迟滞,99,0.5343434343434345,0.1335858585858586
HAMD17_available,WithinAI_Kimi,9,激越,99,0.586868686868687,0.14671717171717175
HAMD17_available,WithinAI_Kimi,10,精神性焦虑,99,0.6929292929292928,0.1732323232323232
HAMD17_available,WithinAI_Kimi,11,躯体性焦虑,99,0.6050505050505051,0.15126262626262627
HAMD17_available,WithinAI_Kimi,12,胃肠道症状,99,0.1919191919191919,0.09595959595959595
HAMD17_available,WithinAI_Kimi,13,全身症状,99,0.3838383838383838,0.1919191919191919
HAMD17_available,WithinAI_Kimi,14,性症状,68,0.388235294117647,0.1941176470588235
HAMD17_available,WithinAI_Kimi,15,疑病,99,0.45454545454545453,0.11363636363636363
