analysis_layer,method,subject_n,coverage,complete_subject_rate,total_MAE,total_RMSE,item_MAE,item_NAE,sum_item_AE,cancellation_ratio,weighted_kappa
HAMD17_available,C03_GLM,99,0.9774212715389188,0.6161616161616161,3.6161616161616164,4.699022034509743,0.46609477124183,0.15366904337492573,7.717171717171717,0.5317435090162362,0.5807588585409317
HAMD17_available,C03_Kimi,99,0.9786096256684492,0.6363636363636364,4.202020202020202,5.395471352079548,0.46854575163398704,0.1558972073677956,7.757575757575758,0.43793675460342124,0.5736636898367782
HAMD17_available,C03_Qwen,99,0.9750445632798574,0.5757575757575758,3.676767676767677,4.8658778937379505,0.46052436125965546,0.1491662953060012,7.595959595959596,0.5017487365080948,0.5810802591535278
HAMD17_available,CrossAI,99,0.9804515745692216,0.6676767676767678,3.4797979797979792,4.612127185119375,0.4727198455139631,0.15768530897207364,7.851515151515151,0.5586154760931945,0.5878050724084317
HAMD17_available,WithinAI_GLM,99,0.9787878787878789,0.6393939393939394,3.355555555555556,4.489493908622168,0.46349153297682705,0.15544786096256683,7.6909090909090905,0.5663725001270737,0.5957543083837294
HAMD17_available,WithinAI_Kimi,99,0.9790255496137851,0.6434343434343434,4.087878787878787,5.212165257037297,0.4976047237076649,0.1661309789067142,8.255555555555555,0.4983024594076287,0.56063947443075
HAMD17_available,WithinAI_Qwen,99,0.9807486631016042,0.6727272727272726,3.5262626262626267,4.708148963941845,0.49145870469399877,0.16197638146167553,8.156565656565657,0.5533304314477501,0.5655644795530417
HAMD17_strict_complete,C03_GLM,61,1.0,1.0,3.360655737704918,4.3776631238857915,0.4214079074252652,0.1407907425265188,7.163934426229508,0.5355988274021062,0.6160956804911922
HAMD17_strict_complete,C03_Kimi,63,1.0,1.0,3.6984126984126986,4.715728494951256,0.40989729225023347,0.13982259570494865,6.968253968253968,0.43752517323945894,0.5976832221755934
HAMD17_strict_complete,C03_Qwen,57,1.0,1.0,3.3859649122807016,4.358898943540674,0.39525283797729616,0.13106295149638802,6.719298245614035,0.4749253670306302,0.628324805171104
HAMD17_strict_complete,CrossAI,69,1.0,1.0,3.2212732919254656,4.323620132631884,0.4295738102004087,0.14452352196917412,7.302754773406947,0.5633333869565753,0.6022223132355019
HAMD17_strict_complete,WithinAI_GLM,70,1.0,1.0,3.1287301587301584,4.205816078823334,0.434140989729225,0.14791608309990661,7.380396825396827,0.5790956952581602,0.6078740255140389
HAMD17_strict_complete,WithinAI_Kimi,68,1.0,1.0,3.705514705882353,4.761843924681405,0.4556630004943154,0.15413062283737022,7.746271008403362,0.5083680774517403,0.5759420338939836
HAMD17_strict_complete,WithinAI_Qwen,69,1.0,1.0,3.470186335403727,4.5147905082443565,0.435970040189989,0.14533552551455364,7.411490683229812,0.5173680091103364,0.5884575015238848
HAMD16_core,C03_GLM,99,1.0,1.0,3.515151515151515,4.554939598663713,0.4684343434343434,0.15214646464646464,7.494949494949495,0.5286653862411438,0.5796391195701198
HAMD16_core,C03_Kimi,99,1.0,1.0,4.101010101010101,5.285772785449062,0.4696969696969697,0.15388257575757575,7.515151515151516,0.4304235046659289,0.5730301245032285
HAMD16_core,C03_Qwen,99,1.0,1.0,3.585858585858586,4.753520757918239,0.46275252525252525,0.14788510101010102,7.404040404040404,0.4974535928190117,0.5797587155574305
HAMD16_core,CrossAI,99,1.0,1.0,3.3424242424242427,4.457090594284187,0.4767045454545455,0.15673926767676769,7.627272727272728,0.5627316713457533,0.584091213856676
HAMD16_core,WithinAI_GLM,99,1.0,1.0,3.2232323232323234,4.337876406396535,0.4668560606060606,0.15438762626262625,7.46969696969697,0.5668818062959164,0.5947797703153389
HAMD16_core,WithinAI_Kimi,99,1.0,1.0,3.966666666666666,5.074097421853925,0.500189393939394,0.16444128787878787,8.003030303030304,0.496849475539315,0.5596659519857867
HAMD16_core,WithinAI_Qwen,99,1.0,1.0,3.3909090909090915,4.543726944420686,0.49577020202020206,0.16107954545454545,7.932323232323233,0.5558332877384852,0.5623467976538608
