analysis_layer,target_method,reference_method,metric,n,delta_target_minus_reference,ci_low,ci_high,p,q
HAMD17_available,CrossAI,C03_GLM,total_MAE_subject,99,-0.1363636363636363,-0.5151767676767678,0.23941919191919173,0.48965103489651035,0.5875812418758124
HAMD17_available,CrossAI,C03_GLM,item_NAE_subject,99,0.004016265597147948,-0.0041467524509803955,0.012120446189839566,0.36236376362363765,0.442035796420358
HAMD17_available,CrossAI,C03_GLM,cancellation_ratio_subject,99,0.02687196707695817,-0.028755464043120023,0.07966566882397985,0.31966803319668036,0.47950204979502054
HAMD17_available,CrossAI,C03_Kimi,total_MAE_subject,99,-0.7222222222222223,-1.25760101010101,-0.20098484848484863,0.009499050094990502,0.028497150284971504
HAMD17_available,CrossAI,C03_Kimi,item_NAE_subject,99,0.001788101604278073,-0.007359347147950089,0.010561915106951867,0.6917308269173083,0.6917308269173083
HAMD17_available,CrossAI,C03_Kimi,cancellation_ratio_subject,99,0.1206787214897732,0.052549913445635366,0.18834527130705825,0.0005999400059994001,0.0035996400359964006
HAMD17_available,CrossAI,C03_Qwen,total_MAE_subject,99,-0.19696969696969696,-0.5646464646464646,0.1930050505050501,0.32826717328267174,0.4924007599240076
HAMD17_available,CrossAI,C03_Qwen,item_NAE_subject,99,0.00851901366607249,0.0018957265671420078,0.015353929924242418,0.019498050194980503,0.05849415058494151
HAMD17_available,CrossAI,C03_Qwen,cancellation_ratio_subject,99,0.056866739585099656,-0.0061809328355674105,0.11764787362815433,0.0730926907309269,0.1461853814618538
HAMD17_available,CrossAI,WithinAI_GLM,total_MAE_subject,99,0.1242424242424242,-0.09497474747474753,0.3474999999999998,0.2836716328367163,0.4924007599240076
HAMD17_available,CrossAI,WithinAI_GLM,item_NAE_subject,99,0.0022374480095068328,-0.0023731803327391577,0.0072429487893642275,0.36836316368363164,0.442035796420358
HAMD17_available,CrossAI,WithinAI_GLM,cancellation_ratio_subject,99,-0.007757024033879272,-0.04093186583533356,0.026884583553918137,0.6499350064993501,0.7799220077992202
HAMD17_available,CrossAI,WithinAI_Kimi,total_MAE_subject,99,-0.6080808080808082,-1.004040404040404,-0.18381313131313146,0.004899510048995101,0.028497150284971504
HAMD17_available,CrossAI,WithinAI_Kimi,item_NAE_subject,99,-0.00844566993464052,-0.015226947786690434,-0.0020785056446821163,0.0136986301369863,0.05849415058494151
HAMD17_available,CrossAI,WithinAI_Kimi,cancellation_ratio_subject,99,0.0603130166855657,0.009662898042242973,0.11063329967385226,0.019998000199980003,0.059994000599940006
HAMD17_available,CrossAI,WithinAI_Qwen,total_MAE_subject,99,-0.046464646464646486,-0.3353535353535354,0.2545454545454545,0.7623237676232377,0.7623237676232377
HAMD17_available,CrossAI,WithinAI_Qwen,item_NAE_subject,99,-0.004291072489601903,-0.009761772133095663,0.0014187137923351118,0.1346865313468653,0.2693730626937306
HAMD17_available,CrossAI,WithinAI_Qwen,cancellation_ratio_subject,99,0.005285044645444311,-0.03686133265768433,0.04711323705746845,0.8049195080491951,0.8049195080491951
HAMD17_strict_complete,CrossAI,C03_GLM,total_MAE_subject,59,-0.3018361581920905,-0.6834745762711864,0.09044138418079073,0.1382861713828617,0.2100989901009899
HAMD17_strict_complete,CrossAI,C03_GLM,item_NAE_subject,59,0.0021581090063143883,-0.00722031821203058,0.01101310651379195,0.644035596440356,0.8063193680631938
HAMD17_strict_complete,CrossAI,C03_GLM,cancellation_ratio_subject,59,0.033365876120113394,-0.029498919806652864,0.0994165643090431,0.3357664233576642,0.3357664233576642
HAMD17_strict_complete,CrossAI,C03_Kimi,total_MAE_subject,62,-0.6255824372759858,-1.2114829749103944,-0.03235887096774365,0.03849615038496151,0.12688731126887312
HAMD17_strict_complete,CrossAI,C03_Kimi,item_NAE_subject,62,0.0021432901117436217,-0.009220611295593506,0.01297777646004638,0.6992300769923008,0.8063193680631938
HAMD17_strict_complete,CrossAI,C03_Kimi,cancellation_ratio_subject,62,0.12531165966649835,0.038603351062020425,0.2094235723953464,0.0093990600939906,0.056394360563943605
HAMD17_strict_complete,CrossAI,C03_Qwen,total_MAE_subject,57,-0.2808479532163744,-0.7986842105263158,0.2187390350877191,0.282971702829717,0.282971702829717
HAMD17_strict_complete,CrossAI,C03_Qwen,item_NAE_subject,57,0.010876762985896113,0.0022139447884416924,0.019853639920880628,0.021897810218978103,0.13138686131386862
HAMD17_strict_complete,CrossAI,C03_Qwen,cancellation_ratio_subject,57,0.088962270672797,-0.0019897335242730053,0.1756930824414377,0.06529347065293471,0.13058694130586943
HAMD17_strict_complete,CrossAI,WithinAI_GLM,total_MAE_subject,67,0.15839256100450125,-0.07787683605780628,0.39130582208007575,0.1750824917508249,0.2100989901009899
HAMD17_strict_complete,CrossAI,WithinAI_GLM,item_NAE_subject,67,-0.0012848920662792507,-0.006536733785554025,0.0041235850683556926,0.6403359664033597,0.8063193680631938
HAMD17_strict_complete,CrossAI,WithinAI_GLM,cancellation_ratio_subject,67,-0.019158384402750805,-0.0533984649470913,0.01658582197259216,0.3023697630236976,0.3357664233576642
HAMD17_strict_complete,CrossAI,WithinAI_Kimi,total_MAE_subject,65,-0.46643467643467645,-0.8720239621489622,-0.028518925518925913,0.04229577042295771,0.12688731126887312
HAMD17_strict_complete,CrossAI,WithinAI_Kimi,item_NAE_subject,65,-0.007771403433168139,-0.015609061893988365,0.00022600193923722582,0.059694030596940305,0.1790820917908209
HAMD17_strict_complete,CrossAI,WithinAI_Kimi,cancellation_ratio_subject,65,0.04688051627321181,-0.012799508235246762,0.10644577766017647,0.14178582141785823,0.21267873212678734
HAMD17_strict_complete,CrossAI,WithinAI_Qwen,total_MAE_subject,69,-0.24891304347826082,-0.596000690131125,0.07784794110881058,0.15408459154084592,0.2100989901009899
HAMD17_strict_complete,CrossAI,WithinAI_Qwen,item_NAE_subject,69,-0.000812003545379507,-0.007197092907211196,0.005358037236633779,0.8063193680631937,0.8063193680631938
HAMD17_strict_complete,CrossAI,WithinAI_Qwen,cancellation_ratio_subject,69,0.045965377846238886,0.0013792384983508125,0.09218612058547053,0.056194380561943806,0.13058694130586943
HAMD16_core,CrossAI,C03_GLM,total_MAE_subject,99,-0.1727272727272727,-0.5505303030303031,0.21214646464646444,0.38516148385161486,0.46219378062193783
HAMD16_core,CrossAI,C03_GLM,item_NAE_subject,99,0.004592803030303031,-0.0033794981060606055,0.012800268308080807,0.30286971302869714,0.4152784721527848
HAMD16_core,CrossAI,C03_GLM,cancellation_ratio_subject,99,0.03406628510460952,-0.020633778980147077,0.0854628560561047,0.21377862213778623,0.32066793320667936
HAMD16_core,CrossAI,C03_Kimi,total_MAE_subject,99,-0.7585858585858587,-1.292929292929293,-0.24643939393939404,0.0047995200479952005,0.014398560143985602
HAMD16_core,CrossAI,C03_Kimi,item_NAE_subject,99,0.00285669191919192,-0.006092171717171715,0.011268939393939395,0.5255474452554745,0.5255474452554745
HAMD16_core,CrossAI,C03_Kimi,cancellation_ratio_subject,99,0.13230816667982445,0.06474578241623696,0.20163861785619802,0.00039996000399960006,0.0023997600239976003
HAMD16_core,CrossAI,C03_Qwen,total_MAE_subject,99,-0.24343434343434342,-0.596969696969697,0.13838383838383836,0.21987801219878012,0.42280771922807725
HAMD16_core,CrossAI,C03_Qwen,item_NAE_subject,99,0.008854166666666668,0.0020643939393939392,0.015609611742424243,0.016698330166983303,0.09209079092090791
HAMD16_core,CrossAI,C03_Qwen,cancellation_ratio_subject,99,0.06527807852674161,0.0020607142205849895,0.1271680460969676,0.039396060393960604,0.07879212078792121
HAMD16_core,CrossAI,WithinAI_GLM,total_MAE_subject,99,0.11919191919191914,-0.09800505050505057,0.3374242424242422,0.28187181281871815,0.42280771922807725
HAMD16_core,CrossAI,WithinAI_GLM,item_NAE_subject,99,0.0023516414141414145,-0.002273121843434342,0.007308238636363634,0.34606539346065396,0.4152784721527848
HAMD16_core,CrossAI,WithinAI_GLM,cancellation_ratio_subject,99,-0.004150134950163092,-0.03699996764145606,0.029616558628702102,0.8068193180681932,0.8068193180681932
HAMD16_core,CrossAI,WithinAI_Kimi,total_MAE_subject,99,-0.6242424242424243,-1.028333333333333,-0.19391414141414157,0.0040995900409959,0.014398560143985602
HAMD16_core,CrossAI,WithinAI_Kimi,item_NAE_subject,99,-0.0077020202020202004,-0.014774305555555554,-0.0011363636363636357,0.0306969303069693,0.09209079092090791
HAMD16_core,CrossAI,WithinAI_Kimi,cancellation_ratio_subject,99,0.06588219580643823,0.014287224048810492,0.11730563883449352,0.013398660133986601,0.040195980401959805
HAMD16_core,CrossAI,WithinAI_Qwen,total_MAE_subject,99,-0.0484848484848485,-0.3353535353535354,0.2464646464646464,0.7457254274572542,0.7457254274572542
