scale,model,analysis_subset,method,subject_repeat_n,complete_n,coverage,total_MAE,total_RMSE,item_MAE,item_NAE,sum_item_AE,cancellation_amount,cancellation_ratio,signed_error,over_rate,under_rate,delta_total_MAE_vs_C03,delta_total_MAE_CI_low,delta_total_MAE_CI_high,delta_total_MAE_p,delta_total_MAE_q
PHQ-8,DeepSeek-V4-Pro,primary142,B,1420,1420,1.0,3.796478873239437,5.142134702219949,0.6389964788732394,0.2129988262910798,5.111971830985915,1.315492957746479,0.22012319839784628,-3.065492957746479,0.10607394366197183,0.3573943661971831,-0.3866197183098592,-0.5944014084507042,-0.18730633802816912,0.00029997000299970003,0.0007499250074992501
PHQ-8,DeepSeek-V4-Pro,primary142,C03,1420,1420,1.0,4.183098591549296,5.651872430604833,0.6355633802816901,0.2118544600938967,5.084507042253521,0.9014084507042254,0.1606721134890149,-3.6338028169014085,0.07746478873239436,0.37588028169014087,0.0,0.0,0.0,1.0,
PHQ-8,DeepSeek-V4-Pro,primary142,ElasticNet,1420,1420,1.0,3.573239436619718,4.418750062254716,0.6260563380281691,0.2086854460093897,5.0084507042253525,1.435211267605634,0.30056520943844883,0.056338028169014086,0.3107394366197183,0.23617957746478874,-0.6098591549295777,-1.2008274647887325,-0.05980633802816933,0.038696130386961305,0.04129587041295871
PHQ-8,DeepSeek-V4-Pro,primary142,Mean,1420,1420,1.0,3.556338028169014,4.715124003268333,0.6276408450704225,0.20921361502347416,5.02112676056338,1.4647887323943662,0.24921361893192878,-2.26056338028169,0.14612676056338028,0.3204225352112676,-0.6267605633802817,-0.9647887323943662,-0.30985915492957744,0.00019998000199980003,0.0007499250074992501
PHQ-8,DeepSeek-V4-Pro,primary142,Median,1420,1420,1.0,3.676056338028169,4.906161690691744,0.6461267605633803,0.2153755868544601,5.169014084507042,1.4929577464788732,0.24588099693733498,-2.5492957746478875,0.13468309859154928,0.335387323943662,-0.5070422535211268,-0.8170774647887324,-0.2323943661971831,0.0010998900109989002,0.0018331500183315006
PHQ-8,DeepSeek-V4-Pro,primary142,Ridge,1420,1420,1.0,3.5767605633802817,4.397262272477928,0.6284330985915493,0.20947769953051645,5.027464788732394,1.4507042253521127,0.3009525333821108,0.09225352112676057,0.3126760563380282,0.2358274647887324,-0.6063380281690143,-1.1325176056338029,-0.0675880281690142,0.04129587041295871,0.04129587041295871
PHQ-8,GLM-5.2,primary142,B,1420,1420,1.0,3.2359154929577465,4.493265696541694,0.6224471830985916,0.20748239436619717,4.979577464788733,1.7436619718309858,0.31254146088653134,-2.0697183098591547,0.15501760563380282,0.32139084507042254,-0.04577464788732394,-0.17184859154929577,0.07535211267605631,0.44395560443955606,0.6942305769423057
PHQ-8,GLM-5.2,primary142,C03,1420,1420,1.0,3.2816901408450705,4.52691481546526,0.5862676056338029,0.1954225352112676,4.690140845070423,1.408450704225352,0.26571347275572627,-2.4225352112676055,0.12588028169014084,0.3274647887323944,0.0,0.0,0.0,1.0,
PHQ-8,GLM-5.2,primary142,ElasticNet,1420,1420,1.0,3.2119718309859153,4.182710893969987,0.5689260563380282,0.1896420187793427,4.551408450704225,1.3394366197183099,0.2851734650326199,-0.5711267605633803,0.23934859154929577,0.2465669014084507,-0.0697183098591549,-0.40635563380281686,0.28593309859154914,0.6942305769423057,0.6942305769423057
PHQ-8,GLM-5.2,primary142,Mean,1420,1420,1.0,3.028169014084507,4.229340840327482,0.6302816901408451,0.210093896713615,5.042253521126761,2.0140845070422535,0.3508368392171209,-1.4788732394366197,0.19190140845070422,0.29401408450704225,-0.2535211267605634,-0.48609154929577464,-0.02112676056338028,0.041195880411958805,0.20597940205979404
PHQ-8,GLM-5.2,primary142,Median,1420,1420,1.0,3.1690140845070425,4.389488083342158,0.6408450704225352,0.21361502347417843,5.126760563380282,1.9577464788732395,0.3373275003556694,-1.6901408450704225,0.18045774647887325,0.3045774647887324,-0.11267605633802817,-0.3591549295774648,0.11971830985915492,0.40505949405059494,0.6942305769423057
PHQ-8,GLM-5.2,primary142,Ridge,1420,1420,1.0,3.195774647887324,4.167952853130118,0.5714788732394366,0.19049295774647887,4.571830985915493,1.376056338028169,0.28870876775806353,-0.4859154929577465,0.24507042253521127,0.24375,-0.08591549295774645,-0.4437147887323944,0.28239436619718306,0.6402359764023597,0.6942305769423057
PHQ-8,Qwen3.7-Max,primary142,B,1420,1420,1.0,3.8387323943661973,5.206645266347369,0.6138204225352113,0.2046068075117371,4.91056338028169,1.0718309859154929,0.18916907036625344,-3.141549295774648,0.09181338028169014,0.3532570422535211,-0.4429577464788732,-0.6556338028169014,-0.24151408450704243,0.00019998000199980003,0.0004999500049995
