analysis_subset,c03_total_MAE,cancellation_ratio,cancellation_ratio_median,complete_subject_coverage,complete_subject_n,coverage,coverage_IQR,coverage_median,delta_total_MAE_IQR,delta_total_MAE_median,delta_total_MAE_vs_C03,fold,fold_improved_vs_C03,folds_improved_n,folds_total_n,item_MAE,item_NAE,item_NAE_IQR,item_NAE_median,level,method,model,proportion_folds_improved,repeat,scale,subject_n,total_MAE,total_MAE_IQR,total_MAE_max,total_MAE_median,total_MAE_min,total_RMSE
primary142,4.5,0.29642857142857143,,1.0,28,1.0,,,,,-0.8928571428571428,3.0,1.0,,,0.6116071428571429,0.20386904761904762,,,outer_fold,Ridge,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.607142857142857,,,,,4.72455591261534
primary142,3.9285714285714284,0.16446608946608945,,1.0,28,1.0,,,,,0.07142857142857162,4.0,0.0,,,0.6160714285714286,0.20535714285714285,,,outer_fold,B,DeepSeek-V4-Pro,,0.0,PHQ-8,28,4.0,,,,,5.175491695067657
primary142,3.9285714285714284,0.16551484230055657,,1.0,28,1.0,,,,,0.0,4.0,,,,0.6160714285714286,0.20535714285714285,,,outer_fold,C03,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.9285714285714284,,,,,5.230405611149374
primary142,3.9285714285714284,0.31014739229024946,,1.0,28,1.0,,,,,-0.17857142857142838,4.0,1.0,,,0.6651785714285714,0.22172619047619047,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.75,,,,,4.806988959540354
primary142,3.9285714285714284,0.18362966398680686,,1.0,28,1.0,,,,,-0.46428571428571397,4.0,1.0,,,0.6026785714285714,0.20089285714285712,,,outer_fold,Mean,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.4642857142857144,,,,,4.468141192295261
primary142,3.9285714285714284,0.17942176870748297,,1.0,28,1.0,,,,,-0.25,4.0,1.0,,,0.6294642857142857,0.20982142857142858,,,outer_fold,Median,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.6785714285714284,,,,,4.663689526544408
primary142,3.9285714285714284,0.3426587301587301,,1.0,28,1.0,,,,,-0.4285714285714284,4.0,1.0,,,0.6607142857142857,0.2202380952380952,,,outer_fold,Ridge,DeepSeek-V4-Pro,,0.0,PHQ-8,28,3.5,,,,,4.503966505838413
primary142,4.275862068965517,0.2427004030452306,,1.0,29,1.0,,,,,0.03448275862069039,0.0,0.0,,,0.7112068965517241,0.23706896551724135,,,outer_fold,B,DeepSeek-V4-Pro,,1.0,PHQ-8,29,4.310344827586207,,,,,5.580137187783357
primary142,4.275862068965517,0.2193586107379211,,1.0,29,1.0,,,,,0.0,0.0,,,,0.6982758620689655,0.23275862068965517,,,outer_fold,C03,DeepSeek-V4-Pro,,1.0,PHQ-8,29,4.275862068965517,,,,,5.53982447126385
primary142,4.275862068965517,0.29852216748768473,,1.0,29,1.0,,,,,-0.4827586206896548,0.0,1.0,,,0.6551724137931034,0.21839080459770116,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,1.0,PHQ-8,29,3.793103448275862,,,,,4.518162580457711
primary142,4.275862068965517,0.2587657553174795,,1.0,29,1.0,,,,,-0.1724137931034475,0.0,1.0,,,0.6939655172413793,0.23132183908045975,,,outer_fold,Mean,DeepSeek-V4-Pro,,1.0,PHQ-8,29,4.103448275862069,,,,,5.229228201771931
primary142,4.275862068965517,0.2643636057429161,,1.0,29,1.0,,,,,-0.1034482758620685,0.0,1.0,,,0.728448275862069,0.24281609195402296,,,outer_fold,Median,DeepSeek-V4-Pro,,1.0,PHQ-8,29,4.172413793103448,,,,,5.385164807134504
primary142,4.275862068965517,0.31012588943623426,,1.0,29,1.0,,,,,-0.6896551724137927,0.0,1.0,,,0.6293103448275862,0.20977011494252876,,,outer_fold,Ridge,DeepSeek-V4-Pro,,1.0,PHQ-8,29,3.586206896551724,,,,,4.283086222130824
primary142,4.379310344827586,0.17471264367816092,,1.0,29,1.0,,,,,-0.44827586206896575,1.0,1.0,,,0.6293103448275862,0.20977011494252873,,,outer_fold,B,DeepSeek-V4-Pro,,1.0,PHQ-8,29,3.9310344827586206,,,,,5.589398832642454
primary142,4.379310344827586,0.13382594417077173,,1.0,29,1.0,,,,,0.0,1.0,,,,0.6767241379310345,0.22557471264367818,,,outer_fold,C03,DeepSeek-V4-Pro,,1.0,PHQ-8,29,4.379310344827586,,,,,6.060044383586186
primary142,4.379310344827586,0.34721102652137137,,1.0,29,1.0,,,,,-0.5517241379310347,1.0,1.0,,,0.6939655172413793,0.23132183908045978,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,1.0,PHQ-8,29,3.8275862068965516,,,,,4.795831523312719
primary142,4.379310344827586,0.2869458128078818,,1.0,29,1.0,,,,,-0.8275862068965516,1.0,1.0,,,0.6681034482758621,0.22270114942528732,,,outer_fold,Mean,DeepSeek-V4-Pro,,1.0,PHQ-8,29,3.5517241379310347,,,,,5.162864748741061
primary142,4.379310344827586,0.2560506543265164,,1.0,29,1.0,,,,,-0.7586206896551726,1.0,1.0,,,0.6508620689655172,0.21695402298850572,,,outer_fold,Median,DeepSeek-V4-Pro,,1.0,PHQ-8,29,3.6206896551724137,,,,,5.235818284036248
primary142,4.379310344827586,0.34852465542120714,,1.0,29,1.0,,,,,-0.6206896551724137,1.0,1.0,,,0.6939655172413793,0.23132183908045978,,,outer_fold,Ridge,DeepSeek-V4-Pro,,1.0,PHQ-8,29,3.7586206896551726,,,,,4.766984154686743
primary142,3.3214285714285716,0.2694160997732426,,1.0,28,1.0,,,,,-0.2142857142857144,2.0,1.0,,,0.5848214285714286,0.1949404761904762,,,outer_fold,B,DeepSeek-V4-Pro,,1.0,PHQ-8,28,3.107142857142857,,,,,3.9955332202705702
primary142,3.3214285714285716,0.2209776334776335,,1.0,28,1.0,,,,,0.0,2.0,,,,0.5580357142857143,0.18601190476190474,,,outer_fold,C03,DeepSeek-V4-Pro,,1.0,PHQ-8,28,3.3214285714285716,,,,,4.419922429829994
primary142,3.3214285714285716,0.296031746031746,,1.0,28,1.0,,,,,0.07142857142857117,2.0,0.0,,,0.6205357142857143,0.20684523809523808,,,outer_fold,ElasticNet,DeepSeek-V4-Pro,,1.0,PHQ-8,28,3.392857142857143,,,,,3.895968612369898
primary142,3.3214285714285716,0.3128968253968254,,1.0,28,1.0,,,,,-0.25,2.0,1.0,,,0.6071428571428571,0.20238095238095238,,,outer_fold,Mean,DeepSeek-V4-Pro,,1.0,PHQ-8,28,3.0714285714285716,,,,,3.654742515847438
primary142,3.3214285714285716,0.31105442176870746,,1.0,28,1.0,,,,,-0.03571428571428603,2.0,1.0,,,0.6339285714285714,0.21130952380952378,,,outer_fold,Median,DeepSeek-V4-Pro,,1.0,PHQ-8,28,3.2857142857142856,,,,,4.088310863215481
primary142,3.3214285714285716,0.29433106575963713,,1.0,28,1.0,,,,,0.17857142857142838,2.0,0.0,,,0.6339285714285714,0.21130952380952378,,,outer_fold,Ridge,DeepSeek-V4-Pro,,1.0,PHQ-8,28,3.5,,,,,4.026696625558687
primary142,4.5,0.23477891156462585,,1.0,28,1.0,,,,,-0.4642857142857144,3.0,1.0,,,0.6473214285714286,0.2157738095238095,,,outer_fold,B,DeepSeek-V4-Pro,,1.0,PHQ-8,28,4.035714285714286,,,,,5.480484858633795
