scale,model,analysis_subset,method,sum_item_AE,total_MAE,cancellation_amount,cancellation_ratio,signed_error,coverage
PHQ-8,DeepSeek-V4-Pro,primary142,B,5.111971830985915,3.796478873239437,1.315492957746479,0.22012319839784628,-3.065492957746479,1.0
PHQ-8,DeepSeek-V4-Pro,primary142,C03,5.084507042253521,4.183098591549296,0.9014084507042254,0.1606721134890149,-3.6338028169014085,1.0
PHQ-8,DeepSeek-V4-Pro,primary142,ElasticNet,5.0084507042253525,3.573239436619718,1.435211267605634,0.30056520943844883,0.056338028169014086,1.0
PHQ-8,DeepSeek-V4-Pro,primary142,Mean,5.02112676056338,3.556338028169014,1.4647887323943662,0.24921361893192878,-2.26056338028169,1.0
PHQ-8,DeepSeek-V4-Pro,primary142,Median,5.169014084507042,3.676056338028169,1.4929577464788732,0.24588099693733498,-2.5492957746478875,1.0
PHQ-8,DeepSeek-V4-Pro,primary142,Ridge,5.027464788732394,3.5767605633802817,1.4507042253521127,0.3009525333821108,0.09225352112676057,1.0
PHQ-8,GLM-5.2,primary142,B,4.979577464788733,3.2359154929577465,1.7436619718309858,0.31254146088653134,-2.0697183098591547,1.0
PHQ-8,GLM-5.2,primary142,C03,4.690140845070423,3.2816901408450705,1.408450704225352,0.26571347275572627,-2.4225352112676055,1.0
PHQ-8,GLM-5.2,primary142,ElasticNet,4.551408450704225,3.2119718309859153,1.3394366197183099,0.2851734650326199,-0.5711267605633803,1.0
PHQ-8,GLM-5.2,primary142,Mean,5.042253521126761,3.028169014084507,2.0140845070422535,0.3508368392171209,-1.4788732394366197,1.0
PHQ-8,GLM-5.2,primary142,Median,5.126760563380282,3.1690140845070425,1.9577464788732395,0.3373275003556694,-1.6901408450704225,1.0
PHQ-8,GLM-5.2,primary142,Ridge,4.571830985915493,3.195774647887324,1.376056338028169,0.28870876775806353,-0.4859154929577465,1.0
PHQ-8,Qwen3.7-Max,primary142,B,4.91056338028169,3.8387323943661973,1.0718309859154929,0.18916907036625344,-3.141549295774648,1.0
PHQ-8,Qwen3.7-Max,primary142,C03,5.028169014084507,4.28169014084507,0.7464788732394366,0.13898609215510624,-3.9014084507042255,1.0
PHQ-8,Qwen3.7-Max,primary142,ElasticNet,5.175352112676056,3.773943661971831,1.4014084507042253,0.2792356665243989,0.07676056338028169,1.0
PHQ-8,Qwen3.7-Max,primary142,Mean,5.098591549295775,3.7464788732394365,1.352112676056338,0.23275879050526938,-2.971830985915493,1.0
PHQ-8,Qwen3.7-Max,primary142,Median,5.084507042253521,3.816901408450704,1.267605633802817,0.2157120657120657,-3.140845070422535,1.0
PHQ-8,Qwen3.7-Max,primary142,Ridge,5.18943661971831,3.797887323943662,1.3915492957746478,0.27742271812694347,0.2528169014084507,1.0
