scale,model,cohort,thinking_mode,validation_layer,strategy,analysis_layer,fixed_scale,subject_universe_n,strategy_strict_complete_repeat_n,c03_strict_complete_repeat_n,strict_joint_repeat_n,strict_joint_subject_n,gold_full_evaluable_n,fixed_scale_gold_evaluable_n,strategy_any_evaluable_n,strict_complete_n,strategy_mae,c03_mae,strategy_rmse,c03_rmse,strategy_signed_bias,c03_signed_bias,strategy_over_rate,c03_over_rate,strategy_under_rate,c03_under_rate,strategy_pearson,c03_pearson,strategy_spearman,c03_spearman,strategy_icc_a1,c03_icc_a1,strategy_weighted_kappa,c03_weighted_kappa,delta_mae,delta_mae_ci_low,delta_mae_ci_high,delta_mae_p,result_layer,source_scale,gold_hamd17_evaluable_n,coverage_threshold,eligible_subject_n,common_support_80_n,common_support_90_n,mean_common_item_coverage,mean_common_score_range_coverage,normalized_partial_ae_strategy,normalized_partial_ae_c03,delta_normalized_partial_ae,delta_normalized_partial_ae_ci_low,delta_normalized_partial_ae_ci_high,delta_normalized_partial_ae_p,partial_ae_strategy,partial_ae_c03,delta_partial_ae,delta_partial_ae_ci_low,delta_partial_ae_ci_high,delta_partial_ae_p,strict_strategy_n,strict_c03_n,normalized_partial_ae_fdr_q,partial_ae_fdr_q,coverage_noninferiority_ci_low,coverage_noninferiority_ci_high,coverage_noninferiority_p,coverage_noninferiority_fdr_q,coverage_noninferiority_pass
PHQ-8,DeepSeek-V4-Pro,DAIC-WOZ全量189人,思考,locked_outer_10x5_oof,B,strict_complete,,142,1420.0,1420.0,1420.0,142.0,142.0,,142,142,3.790845070422535,4.183098591549296,5.105430690471791,5.651872430604833,-3.0654929577464785,-3.6338028169014085,0.176056338028169,0.1056338028169014,0.7253521126760564,0.7323943661971831,0.7041729150153523,0.6561800674033549,0.722870741336666,0.7018644790336417,0.5374839382201381,0.46145412841719174,0.5325130724663769,0.46102210837998847,-0.3866197183098592,-0.5972007042253521,-0.18448943661971845,0.0004999500049995,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ-8,DeepSeek-V4-Pro,DAIC-WOZ全量189人,思考,locked_outer_10x5_oof,C,strict_complete,,142,1420.0,1420.0,1420.0,142.0,142.0,,142,142,4.000704225352112,4.183098591549296,5.362946688444571,5.651872430604833,-3.337323943661972,-3.6338028169014085,0.15492957746478872,0.1056338028169014,0.7394366197183099,0.7323943661971831,0.6823725641587137,0.6561800674033549,0.7057099536025228,0.7018644790336417,0.5012943204097535,0.46145412841719174,0.501509843132955,0.46102210837998847,-0.17676056338028173,-0.2824295774647888,-0.07605633802816904,0.0006999300069993001,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ-8,DeepSeek-V4-Pro,DAIC-WOZ全量189人,思考,phq_test47_locked_secondary_replication,A,strict_complete,,47,47.0,47.0,47.0,47.0,47.0,,47,47,3.25531914893617,3.7872340425531914,4.554632899703754,5.347498918265535,-1.425531914893617,-3.1914893617021276,0.3191489361702128,0.1276595744680851,0.46808510638297873,0.723404255319149,0.7373707294159866,0.7464920323895344,0.7621372404566925,0.8090525603080754,0.6903137601502514,0.593380863434269,0.6918725344024426,0.6102649893902854,-0.5319148936170213,-1.1063829787234043,0.02127659574468085,0.09059094090590941,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ-8,DeepSeek-V4-Pro,DAIC-WOZ全量189人,思考,phq_test47_locked_secondary_replication,B,strict_complete,,47,47.0,47.0,47.0,47.0,47.0,,47,47,3.4893617021276597,3.7872340425531914,5.04026341763493,5.347498918265535,-2.978723404255319,-3.1914893617021276,0.10638297872340426,0.1276595744680851,0.6808510638297872,0.723404255319149,0.7839168124276399,0.7464920323895344,0.8279854235625734,0.8090525603080754,0.6271941137341677,0.593380863434269,0.6636155606407322,0.6102649893902854,-0.2978723404255319,-0.5319148936170213,-0.06382978723404255,0.026597340265973404,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ-8,DeepSeek-V4-Pro,DAIC-WOZ全量189人,思考,phq_test47_locked_secondary_replication,C,strict_complete,,47,47.0,47.0,47.0,47.0,47.0,,47,47,3.765957446808511,3.7872340425531914,5.361406611241478,5.347498918265535,-3.1702127659574466,-3.1914893617021276,0.1276595744680851,0.1276595744680851,0.7021276595744681,0.723404255319149,0.7443804371675725,0.7464920323895344,0.8175564017683605,0.8090525603080754,0.5828679589754605,0.593380863434269,0.6141715273277166,0.6102649893902854,-0.02127659574468085,-0.19148936170212766,0.14893617021276595,1.0,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ-8,GLM-5.2,DAIC-WOZ全量189人,思考,locked_outer_10x5_oof,A,strict_complete,,142,1420.0,1420.0,1420.0,142.0,142.0,,142,142,3.086619718309859,3.2816901408450705,4.238464045475523,4.52691481546526,-1.741549295774648,-2.4225352112676055,0.323943661971831,0.2112676056338028,0.5985915492957746,0.6549295774647887,0.7387361160563158,0.7452920017559675,0.7400998707046167,0.7550989559490101,0.667461835311891,0.6360215454380942,0.6684665943744883,0.6351491539284254,-0.15985915492957745,-0.33737676056338023,0.02470070422535182,0.08599140085991401,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ-8,GLM-5.2,DAIC-WOZ全量189人,思考,locked_outer_10x5_oof,B,strict_complete,,142,1420.0,1420.0,1420.0,142.0,142.0,,142,142,3.180985915492958,3.2816901408450705,4.44513502068415,4.52691481546526,-2.0697183098591547,-2.4225352112676055,0.2887323943661972,0.2112676056338028,0.6338028169014085,0.6549295774647887,0.727473602834536,0.7452920017559675,0.7297817899808868,0.7550989559490101,0.6374777018606159,0.6360215454380942,0.6346207407926603,0.6351491539284254,-0.04577464788732394,-0.16410211267605634,0.06619718309859156,0.44155584441555845,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ-8,GLM-5.2,DAIC-WOZ全量189人,思考,locked_outer_10x5_oof,C,strict_complete,,142,1420.0,1420.0,1420.0,142.0,142.0,,142,142,3.2746478873239435,3.2816901408450705,4.525094349650561,4.52691481546526,-2.3887323943661976,-2.4225352112676055,0.23943661971830985,0.2112676056338028,0.6549295774647887,0.6549295774647887,0.7422073421074962,0.7452920017559675,0.7407918844011921,0.7550989559490101,0.6355546398346454,0.6360215454380942,0.6348912987136017,0.6351491539284254,0.004225352112676055,-0.008450704225352115,0.015510563380281598,0.5408459154084592,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ-8,GLM-5.2,DAIC-WOZ全量189人,思考,phq_test47_locked_secondary_replication,A,strict_complete,,47,47.0,47.0,47.0,47.0,47.0,,47,47,3.276595744680851,3.1702127659574466,4.453064925873252,4.52651761314674,-1.0212765957446808,-1.9787234042553192,0.3617021276595745,0.19148936170212766,0.46808510638297873,0.574468085106383,0.7362742830135316,0.7721272788911006,0.7948039547534167,0.8296971765814415,0.7011321175617644,0.7034741281210255,0.7009041695461875,0.7226165766750625,0.10638297872340426,-0.2553191489361702,0.46808510638297873,0.6528347165283471,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ-8,GLM-5.2,DAIC-WOZ全量189人,思考,phq_test47_locked_secondary_replication,B,strict_complete,,47,47.0,47.0,47.0,47.0,47.0,,47,47,3.1914893617021276,3.1702127659574466,4.51475123604881,4.52651761314674,-1.702127659574468,-1.9787234042553192,0.2553191489361702,0.19148936170212766,0.5531914893617021,0.574468085106383,0.757322504609644,0.7721272788911006,0.8200473639713051,0.8296971765814415,0.70348938918868,0.7034741281210255,0.7212667536472541,0.7226165766750625,0.02127659574468085,-0.14893617021276595,0.2127659574468085,1.0,strict_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
