scale,analysis_layer,model,strategy,paired_subject_n,mean_paired_repeats,selected_total_MAE,C03_total_MAE,delta_total_MAE,delta_total_MAE_CI_low,delta_total_MAE_CI_high,sign_flip_p,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,hedges_gz,hedges_gz_CI_low,hedges_gz_CI_high,selected_item_NAE,C03_item_NAE,delta_item_NAE,selected_sum_item_AE,C03_sum_item_AE,delta_sum_item_AE,selected_cancellation_ratio,C03_cancellation_ratio,delta_cancellation_ratio,selected_weighted_kappa,C03_weighted_kappa,fold_improvement_rate,fold_delta_MAE_median,fold_delta_MAE_IQR,median_item_route_top_frequency,C03_retention_rate,sign_flip_q,generalization_supported,interpretation
HAMD-17,HAMD16_core,GLM-5.2,B,99,10.0,3.3242424242424247,3.515151515151515,-0.19090909090909092,-0.5667424242424242,0.19494949494949493,0.33726627337266274,-0.9772434764783741,0.33085484125256315,1976.0,0.1982817453309882,-0.09746308430883456,-0.3174559374632197,0.09079402704390829,0.15487689393939394,0.15214646464646464,0.0027304292929292923,7.526262626262627,7.494949494949495,0.03131313131313129,0.5495209950269054,0.5286653862411438,0.020855608785761714,0.587180588871633,0.5796391195701198,0.7,-0.17894736842105263,0.44276315789473686,0.74,0.18,0.48835116488351166,False,点估计改善但区间跨0或FDR未通过，不支持稳定泛化
HAMD-17,HAMD16_core,Kimi-K2.6,B,99,10.0,3.9696969696969693,4.101010101010101,-0.13131313131313133,-0.4868686868686869,0.2414141414141414,0.48835116488351166,-0.7148977732799322,0.4763718150101481,1900.0,0.15835825854484287,-0.07129865138672228,-0.2930567890290756,0.1178259546594764,0.16186868686868686,0.15388257575757575,0.00798611111111111,7.884848484848484,7.515151515151516,0.3696969696969697,0.4785449006661127,0.4304235046659289,0.04812139600018389,0.5619899620806103,0.5730301245032285,0.64,-0.2,0.4375,0.66,0.37125,0.48835116488351166,False,点估计改善但区间跨0或FDR未通过，不支持稳定泛化
HAMD-17,HAMD16_core,Qwen3.7-Max,B,99,10.0,3.3363636363636364,3.585858585858586,-0.24949494949494952,-0.5404545454545455,0.05356060606060576,0.10288971102889712,-1.6457056461878672,0.10302802628731281,1848.5,0.10919348862394324,-0.16413058976862116,-0.3663742340098344,0.025750064358928765,0.1578598484848485,0.14788510101010102,0.009974747474747475,7.8232323232323235,7.404040404040404,0.41919191919191917,0.5617804681619297,0.4974535928190117,0.06432687534291812,0.5640742843423008,0.5797587155574305,0.76,-0.25,0.43552631578947365,0.77,0.5425,0.30866913308669136,False,点估计改善但区间跨0或FDR未通过，不支持稳定泛化
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,B,189,10.0,3.7074074074074077,4.084656084656085,-0.3772486772486772,-0.560330687830688,-0.1978835978835979,0.00019998000199980003,-4.098013630227165,6.191699441070438e-05,2793.0,2.0751491193155846e-05,-0.2968958706758948,-0.44018487348621504,-0.1594389501824651,0.21060405643738975,0.21119929453262784,-0.0005952380952380946,5.054497354497355,5.068783068783069,-0.014285714285714282,0.2449955805511361,0.1719175885842553,0.07307799196688086,0.24088378945742883,0.25255613404454147,0.94,-0.37339971550497864,0.3355263157894737,0.74,0.24,0.00029997000299970003,True,验证折总分MAE显著低于C03，支持当前队列内跨受试者泛化
PHQ-8,PHQ8_complete,GLM-5.2,B,189,10.0,3.2433862433862433,3.253968253968254,-0.0105820105820106,-0.10105820105820107,0.08359788359788356,0.8181181881811819,-0.22705386870071775,0.8206285642235921,4485.5,0.8184112310162882,-0.016449763744317513,-0.16405419836022778,0.13012611949963215,0.20163139329805996,0.19466490299823633,0.006966490299823634,4.839153439153439,4.671957671957672,0.1671957671957672,0.3029519539837,0.27841873000603157,0.024533223977668425,0.23891097891837923,0.2555880255760051,0.52,-0.02631578947368421,0.11895448079658605,0.67,0.62,0.8181181881811819,False,点估计改善但区间跨0或FDR未通过，不支持稳定泛化
PHQ-8,PHQ8_complete,Qwen3.7-Max,B,189,10.0,3.737566137566138,4.211640211640212,-0.4740740740740741,-0.6661375661375661,-0.29417989417989415,9.999000099990002e-05,-5.178003747289851,5.738015895510749e-07,1496.0,3.7784596416270855e-08,-0.37513977981314023,-0.5020751903381684,-0.25242722892774644,0.2046296296296296,0.20811287477954143,-0.003483245149911816,4.911111111111111,4.994708994708994,-0.0835978835978836,0.211781037892149,0.15060568473266886,0.061175353159480146,0.24747380388286322,0.2519087565330002,0.98,-0.4665718349928876,0.3662873399715505,0.67,0.105,0.00029997000299970003,True,验证折总分MAE显著低于C03，支持当前队列内跨受试者泛化
