scale,analysis_layer,model,A_delta_MAE,A_CI,A_q,A_fold_rate,A_delta_item_NAE,A_delta_cancellation,A_supported,B_delta_MAE,B_CI,B_q,B_fold_rate,B_delta_item_NAE,B_delta_cancellation,B_supported,conclusion
HAMD-17,HAMD16_core,GLM-5.2,-0.1343434343434343,"[-0.561, 0.319]",0.5592440755924407,0.64,0.0080650252525252,0.0421935387844478,False,-0.1909090909090909,"[-0.567, 0.195]",0.4883511648835116,0.7,0.0027304292929292,0.0208556087857617,False,B总分效应更大
HAMD-17,HAMD16_core,Kimi-K2.6,-0.405050505050505,"[-0.852, 0.047]",0.2396760323967603,0.76,0.0222537878787878,0.1224149688538937,False,-0.1313131313131313,"[-0.487, 0.241]",0.4883511648835116,0.64,0.0079861111111111,0.0481213960001838,False,A总分效应更大
HAMD-17,HAMD16_core,Qwen3.7-Max,-0.1303030303030303,"[-0.536, 0.287]",0.5592440755924407,0.62,0.0182291666666666,0.0564988576399121,False,-0.2494949494949495,"[-0.540, 0.054]",0.3086691330866913,0.76,0.0099747474747474,0.0643268753429181,False,B总分效应更大
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,-0.7814814814814816,"[-1.048, -0.507]",0.0001499850014998,0.98,0.0078703703703703,0.1535404806833378,True,-0.3772486772486772,"[-0.560, -0.198]",0.0002999700029997,0.94,-0.000595238095238,0.0730779919668808,True,A总分效应更大
PHQ-8,PHQ8_complete,GLM-5.2,-0.0005291005291005,"[-0.121, 0.124]",0.9986001399860016,0.48,0.0064153439153439,0.0266697969872573,False,-0.0105820105820106,"[-0.101, 0.084]",0.8181181881811819,0.52,0.0069664902998236,0.0245332239776684,False,B总分效应更大
PHQ-8,PHQ8_complete,Qwen3.7-Max,-0.6216931216931217,"[-0.873, -0.384]",0.0001499850014998,0.98,0.0031966490299823,0.0907674118598488,True,-0.4740740740740741,"[-0.666, -0.294]",0.0002999700029997,0.98,-0.0034832451499118,0.0611753531594801,True,A总分效应更大
