scale,model,strategy,analysis_layer,paired_subject_n,outer_repeats,outer_folds,outer_train_fraction,outer_test_fraction,inner_folds,baseline,target_total_MAE,baseline_total_MAE,delta_total_MAE_target_minus_C03,ci_low,ci_high,p_value,q_value,target_coverage,baseline_coverage,target_item_NAE,baseline_item_NAE,target_cancellation_ratio,baseline_cancellation_ratio,replication_layer,replication_delta,replication_ci_low,replication_ci_high,replication_p,replication_q,stability_acceptable,median_locked_replication_rate,median_selection_entropy,generalization_status
PHQ-8,DeepSeek-V4-Pro,B,primary142_outer_10x5_oof,142,10,5,0.8,0.2,5,C03,3.796478873239437,4.183098591549296,-0.3866197183098592,-0.5944014084507042,-0.1873063380281691,0.0002999700029997,0.0007499250074992,1.0,1.0,0.2129988262910798,0.2118544600938967,0.2201231983978462,0.1606721134890149,test47_locked_secondary_replication,-0.2978723404255319,-0.5319148936170213,-0.0638297872340425,0.0264973502649735,0.1324867513248675,True,0.575,0.4950929500140431,total_MAE_generalization_supported
PHQ-8,GLM-5.2,B,primary142_outer_10x5_oof,142,10,5,0.8,0.2,5,C03,3.2359154929577465,3.2816901408450705,-0.0457746478873239,-0.1718485915492957,0.0753521126760563,0.443955604439556,0.6942305769423057,1.0,1.0,0.2074823943661971,0.1954225352112676,0.3125414608865313,0.2657134727557262,test47_locked_secondary_replication,0.0212765957446808,-0.1489361702127659,0.1914893617021276,1.0,1.0,False,0.503,0.5589566974972413,direction_only_CI_crosses_zero
PHQ-8,Qwen3.7-Max,B,primary142_outer_10x5_oof,142,10,5,0.8,0.2,5,C03,3.838732394366197,4.28169014084507,-0.4429577464788732,-0.6556338028169014,-0.2415140845070424,0.0001999800019998,0.0004999500049995,1.0,1.0,0.2046068075117371,0.2095070422535211,0.1891690703662534,0.1389860921551062,test47_locked_secondary_replication,-0.574468085106383,-0.9154255319148936,-0.2553191489361702,0.0002999700029997,0.0014998500149985,False,0.5255000000000001,0.5521930665510293,total_MAE_generalization_supported
HAMD-17,GLM-5.2,B,HAMD16_core_outer_10x5_oof,99,10,5,0.8,0.2,5,C03,3.297979797979798,3.515151515151515,-0.2171717171717172,-0.6111363636363637,0.1959848484848482,0.3162683731626837,0.5271139552711396,1.0,1.0,0.1559659090909091,0.1521464646464646,0.5593470657118748,0.5286653862411438,,,,,,,False,0.505,0.6412166622151302,direction_only_CI_crosses_zero
HAMD-17,Kimi-K2.6,B,HAMD16_core_outer_10x5_oof,99,10,5,0.8,0.2,5,C03,3.9696969696969697,4.101010101010101,-0.1313131313131313,-0.4788131313131313,0.2363888888888888,0.465953404659534,0.465953404659534,1.0,1.0,0.1619949494949495,0.1538825757575757,0.4780574842072168,0.4304235046659289,,,,,,,False,0.472,0.5958487555022355,direction_only_CI_crosses_zero
HAMD-17,Qwen3.7-Max,B,HAMD16_core_outer_10x5_oof,99,10,5,0.8,0.2,5,C03,3.3282828282828283,3.585858585858586,-0.2575757575757576,-0.5596464646464647,0.0424999999999995,0.097990200979902,0.48995100489951,1.0,1.0,0.1570549242424242,0.147885101010101,0.565779329602859,0.4974535928190117,,,,,,,False,0.543,0.5963419887620431,direction_only_CI_crosses_zero
