scale,analysis_layer,model,A_delta_MAE,A_CI,A_q,A_fold_rate,A_delta_item_NAE,A_delta_cancellation,A_supported,B_delta_MAE,B_CI,B_q,B_fold_rate,B_delta_item_NAE,B_delta_cancellation,B_supported,conclusion
HAMD-17,HAMD16_core,GLM-5.2,-0.1343434343434343,"[-0.561, 0.319]",0.5592440755924407,0.64,0.008065025252525252,0.04219353878444788,False,-0.19090909090909092,"[-0.567, 0.195]",0.48835116488351166,0.7,0.0027304292929292923,0.020855608785761714,False,B总分效应更大
HAMD-17,HAMD16_core,Kimi-K2.6,-0.40505050505050505,"[-0.852, 0.047]",0.23967603239676033,0.76,0.02225378787878788,0.1224149688538937,False,-0.13131313131313133,"[-0.487, 0.241]",0.48835116488351166,0.64,0.00798611111111111,0.04812139600018389,False,A总分效应更大
HAMD-17,HAMD16_core,Qwen3.7-Max,-0.13030303030303034,"[-0.536, 0.287]",0.5592440755924407,0.62,0.018229166666666668,0.05649885763991215,False,-0.24949494949494952,"[-0.540, 0.054]",0.30866913308669136,0.76,0.009974747474747475,0.06432687534291812,False,B总分效应更大
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,-0.7814814814814816,"[-1.048, -0.507]",0.00014998500149985002,0.98,0.007870370370370368,0.1535404806833378,True,-0.3772486772486772,"[-0.560, -0.198]",0.00029997000299970003,0.94,-0.0005952380952380946,0.07307799196688086,True,A总分效应更大
PHQ-8,PHQ8_complete,GLM-5.2,-0.0005291005291005131,"[-0.121, 0.124]",0.9986001399860015,0.48,0.006415343915343915,0.02666979698725731,False,-0.0105820105820106,"[-0.101, 0.084]",0.8181181881811819,0.52,0.006966490299823634,0.024533223977668425,False,B总分效应更大
PHQ-8,PHQ8_complete,Qwen3.7-Max,-0.6216931216931217,"[-0.873, -0.384]",0.00014998500149985002,0.98,0.003196649029982366,0.09076741185984884,True,-0.4740740740740741,"[-0.666, -0.294]",0.00029997000299970003,0.98,-0.003483245149911816,0.061175353159480146,True,A总分效应更大
