scale,analysis_layer,model,selected_strategy,delta_total_MAE,delta_total_MAE_CI_low,delta_total_MAE_CI_high,sign_flip_q,fold_improvement_rate,total_generalization_supported,delta_item_NAE,delta_sum_item_AE,delta_cancellation_ratio,item_accuracy_improved,cancellation_not_increased,claim_boundary,recommended_next_action
HAMD-17,HAMD16_core,GLM-5.2,A,-0.1343434343434343,-0.5606565656565656,0.3191919191919192,0.5592440755924407,0.64,False,0.008065025252525252,0.29797979797979796,0.04219353878444788,False,False,不支持A相对C03的稳定外推,保留C03；A仅作阴性或探索性结果
HAMD-17,HAMD16_core,Kimi-K2.6,A,-0.40505050505050505,-0.851540404040404,0.046515151515150774,0.23967603239676033,0.76,False,0.02225378787878788,1.1343434343434342,0.1224149688538937,False,False,不支持A相对C03的稳定外推,保留C03；A仅作阴性或探索性结果
HAMD-17,HAMD16_core,Qwen3.7-Max,A,-0.13030303030303034,-0.5363636363636364,0.286893939393939,0.5592440755924407,0.62,False,0.018229166666666668,0.7767676767676767,0.05649885763991215,False,False,不支持A相对C03的稳定外推,保留C03；A仅作阴性或探索性结果
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,A,-0.7814814814814816,-1.0481481481481483,-0.5068650793650795,0.00014998500149985002,0.98,True,0.007870370370370368,0.1888888888888889,0.1535404806833378,False,False,仅支持总分MAE改善；条目误差或抵消未改善,作为A总分优化候选；不得宣称条目更准，需外部样本验证
PHQ-8,PHQ8_complete,GLM-5.2,A,-0.0005291005291005131,-0.12116402116402111,0.12433862433862433,0.9986001399860015,0.48,False,0.006415343915343915,0.15396825396825398,0.02666979698725731,False,False,不支持A相对C03的稳定外推,保留C03；A仅作阴性或探索性结果
PHQ-8,PHQ8_complete,Qwen3.7-Max,A,-0.6216931216931217,-0.8730555555555556,-0.3835846560846563,0.00014998500149985002,0.98,True,0.003196649029982366,0.07671957671957673,0.09076741185984884,False,False,仅支持总分MAE改善；条目误差或抵消未改善,作为A总分优化候选；不得宣称条目更准，需外部样本验证
