repeat,fold,heldout_subject_n,selected_MAE,C03_MAE,delta_MAE,delta_item_NAE,delta_cancellation_ratio,scale,analysis_layer,model,improved
0,0,20,4.3,4.45,-0.15,0.01640625,0.06880258630258632,HAMD-17,HAMD16_core,Kimi-K2.6,True
0,1,20,3.95,3.95,0.0,0.02890625,0.041487401487401473,HAMD-17,HAMD16_core,Kimi-K2.6,False
0,2,20,3.3,4.85,-1.55,0.0375,0.3510095760792355,HAMD-17,HAMD16_core,Kimi-K2.6,True
0,3,20,2.85,2.95,-0.1,0.03125,0.12344017094017094,HAMD-17,HAMD16_core,Kimi-K2.6,True
0,4,19,3.8421052631578947,4.315789473684211,-0.47368421052631576,0.013980263157894737,0.050741363899258644,HAMD-17,HAMD16_core,Kimi-K2.6,True
1,0,20,3.5,4.05,-0.55,0.028125,0.17210068526244998,HAMD-17,HAMD16_core,Kimi-K2.6,True
1,1,20,3.8,4.3,-0.5,0.0171875,0.1534948384948385,HAMD-17,HAMD16_core,Kimi-K2.6,True
1,2,20,3.05,3.05,0.0,0.03203125,0.10057165057165059,HAMD-17,HAMD16_core,Kimi-K2.6,False
1,3,20,4.55,4.85,-0.3,0.01640625,0.051156066156066174,HAMD-17,HAMD16_core,Kimi-K2.6,True
1,4,19,3.3157894736842106,4.2631578947368425,-0.9473684210526315,0.023026315789473683,0.16042437095068673,HAMD-17,HAMD16_core,Kimi-K2.6,True
2,0,20,3.45,3.8,-0.35,0.0234375,0.15734126984126984,HAMD-17,HAMD16_core,Kimi-K2.6,True
2,1,20,3.6,4.25,-0.65,0.01796875,0.11984876234876234,HAMD-17,HAMD16_core,Kimi-K2.6,True
2,2,20,2.95,4.95,-2.0,0.00234375,0.31252386502386503,HAMD-17,HAMD16_core,Kimi-K2.6,True
2,3,20,4.2,3.4,0.8,0.03671875,0.036133033633033634,HAMD-17,HAMD16_core,Kimi-K2.6,False
2,4,19,3.6842105263157894,4.105263157894737,-0.42105263157894735,0.02549342105263158,0.046220015749101624,HAMD-17,HAMD16_core,Kimi-K2.6,True
3,0,20,3.7,4.3,-0.6,0.01953125,0.18930916305916307,HAMD-17,HAMD16_core,Kimi-K2.6,True
3,1,20,4.85,4.9,-0.05,0.01484375,0.08943362193362192,HAMD-17,HAMD16_core,Kimi-K2.6,True
3,2,20,2.85,3.75,-0.9,0.021875,0.11120686417126047,HAMD-17,HAMD16_core,Kimi-K2.6,True
3,3,20,3.7,3.4,0.3,0.03984375,0.1302336552336552,HAMD-17,HAMD16_core,Kimi-K2.6,False
3,4,19,3.263157894736842,4.157894736842105,-0.8947368421052632,0.02055921052631579,0.13787878787878788,HAMD-17,HAMD16_core,Kimi-K2.6,True
4,0,20,4.6,4.35,0.25,0.0109375,0.010473692973692971,HAMD-17,HAMD16_core,Kimi-K2.6,False
4,1,20,3.35,4.7,-1.35,0.01171875,0.2046519820049232,HAMD-17,HAMD16_core,Kimi-K2.6,True
4,2,20,4.15,4.8,-0.65,0.03515625,0.1589093259681495,HAMD-17,HAMD16_core,Kimi-K2.6,True
4,3,20,4.5,3.25,1.25,0.05390625,0.087005772005772,HAMD-17,HAMD16_core,Kimi-K2.6,False
4,4,19,2.8421052631578947,3.3684210526315788,-0.5263157894736842,0.004934210526315789,0.10536203562519353,HAMD-17,HAMD16_core,Kimi-K2.6,True
5,0,20,4.0,5.05,-1.05,0.01171875,0.08921955237744712,HAMD-17,HAMD16_core,Kimi-K2.6,True
5,1,20,3.2,3.3,-0.1,0.02421875,0.06537878787878788,HAMD-17,HAMD16_core,Kimi-K2.6,True
5,2,20,3.75,3.15,0.6,0.02109375,0.013354978354978347,HAMD-17,HAMD16_core,Kimi-K2.6,False
5,3,20,3.65,4.15,-0.5,0.0234375,0.16926892551892553,HAMD-17,HAMD16_core,Kimi-K2.6,True
5,4,19,4.157894736842105,4.894736842105263,-0.7368421052631579,0.02631578947368421,0.23118109960215225,HAMD-17,HAMD16_core,Kimi-K2.6,True
6,0,20,5.1,5.1,0.0,0.021875,0.02858558108558108,HAMD-17,HAMD16_core,Kimi-K2.6,False
6,1,20,2.75,3.7,-0.95,0.01015625,0.1719015788133435,HAMD-17,HAMD16_core,Kimi-K2.6,True
6,2,20,4.35,3.85,0.5,0.0359375,0.0875082270670506,HAMD-17,HAMD16_core,Kimi-K2.6,False
6,3,20,3.75,3.25,0.5,0.0328125,0.03405618890913008,HAMD-17,HAMD16_core,Kimi-K2.6,False
6,4,19,3.9473684210526314,4.631578947368421,-0.6842105263157895,0.001644736842105263,0.10369104579630896,HAMD-17,HAMD16_core,Kimi-K2.6,True
7,0,20,4.15,3.75,0.4,0.02109375,0.05362570436099849,HAMD-17,HAMD16_core,Kimi-K2.6,False
7,1,20,3.65,4.15,-0.5,0.0203125,0.1327089577089577,HAMD-17,HAMD16_core,Kimi-K2.6,True
7,2,20,4.0,4.85,-0.85,0.01953125,0.1301923076923077,HAMD-17,HAMD16_core,Kimi-K2.6,True
7,3,20,3.45,4.1,-0.65,0.0203125,0.13758130758130757,HAMD-17,HAMD16_core,Kimi-K2.6,True
7,4,19,3.1578947368421053,3.6315789473684212,-0.47368421052631576,0.03125,0.1497688070443488,HAMD-17,HAMD16_core,Kimi-K2.6,True
8,0,20,3.85,4.6,-0.75,0.021875,0.13013264513264514,HAMD-17,HAMD16_core,Kimi-K2.6,True
8,1,20,4.65,4.9,-0.25,0.040625,0.16355172605172602,HAMD-17,HAMD16_core,Kimi-K2.6,True
8,2,20,2.85,3.35,-0.5,0.01015625,0.09333499833499834,HAMD-17,HAMD16_core,Kimi-K2.6,True
8,3,20,3.35,3.75,-0.4,0.0265625,0.16863747363747364,HAMD-17,HAMD16_core,Kimi-K2.6,True
8,4,19,2.8947368421052633,3.8947368421052633,-1.0,0.011513157894736841,0.1980101769575454,HAMD-17,HAMD16_core,Kimi-K2.6,True
9,0,20,3.4,4.4,-1.0,0.01796875,0.18942564745196325,HAMD-17,HAMD16_core,Kimi-K2.6,True
9,1,20,3.5,3.7,-0.2,0.0234375,0.06970558036734506,HAMD-17,HAMD16_core,Kimi-K2.6,True
9,2,20,3.8,4.35,-0.55,0.02421875,0.13841699966699966,HAMD-17,HAMD16_core,Kimi-K2.6,True
9,3,20,3.6,4.45,-0.85,0.0046875,0.1046103896103896,HAMD-17,HAMD16_core,Kimi-K2.6,True
9,4,19,3.5789473684210527,3.5789473684210527,0.0,0.023848684210526317,0.10010063036378825,HAMD-17,HAMD16_core,Kimi-K2.6,False
0,0,20,3.9,3.9,0.0,-0.0015625,-0.017558275058275053,HAMD-17,HAMD16_core,Qwen3.7-Max,False
0,1,20,2.95,3.95,-1.0,0.01328125,0.10384143634143635,HAMD-17,HAMD16_core,Qwen3.7-Max,True
0,2,20,2.9,3.35,-0.45,0.01640625,0.11042540792540793,HAMD-17,HAMD16_core,Qwen3.7-Max,True
0,3,20,2.75,2.9,-0.15,0.03984375,0.08340215340215341,HAMD-17,HAMD16_core,Qwen3.7-Max,True
0,4,19,3.6315789473684212,3.8421052631578947,-0.21052631578947367,0.013157894736842105,0.08572478433159547,HAMD-17,HAMD16_core,Qwen3.7-Max,True
1,0,20,3.3,4.15,-0.85,0.01796875,0.16904206904206903,HAMD-17,HAMD16_core,Qwen3.7-Max,True
1,1,20,3.85,4.05,-0.2,0.00234375,0.0563826043237808,HAMD-17,HAMD16_core,Qwen3.7-Max,True
1,2,20,2.65,2.95,-0.3,0.00703125,0.10481601731601733,HAMD-17,HAMD16_core,Qwen3.7-Max,True
1,3,20,3.8,3.7,0.1,0.01953125,-0.047519702519702514,HAMD-17,HAMD16_core,Qwen3.7-Max,False
1,4,19,3.736842105263158,3.0526315789473686,0.6842105263157895,0.027960526315789474,-0.019278674541832432,HAMD-17,HAMD16_core,Qwen3.7-Max,False
2,0,20,3.0,3.3,-0.3,0.034375,0.0987515915457092,HAMD-17,HAMD16_core,Qwen3.7-Max,True
2,1,20,2.85,3.15,-0.3,-0.003125,0.01645521145521147,HAMD-17,HAMD16_core,Qwen3.7-Max,True
2,2,20,3.25,3.95,-0.7,0.01328125,0.09454184704184705,HAMD-17,HAMD16_core,Qwen3.7-Max,True
2,3,20,4.05,3.45,0.6,0.01640625,-0.046301198801198803,HAMD-17,HAMD16_core,Qwen3.7-Max,False
2,4,19,3.6842105263157894,4.105263157894737,-0.42105263157894735,0.02631578947368421,0.15759377135456654,HAMD-17,HAMD16_core,Qwen3.7-Max,True
3,0,20,3.85,3.85,0.0,0.00546875,-0.0009089276736335527,HAMD-17,HAMD16_core,Qwen3.7-Max,False
3,1,20,4.45,4.75,-0.3,0.01484375,0.08043419600695143,HAMD-17,HAMD16_core,Qwen3.7-Max,True
3,2,20,2.8,3.4,-0.6,0.0234375,0.07823759573759574,HAMD-17,HAMD16_core,Qwen3.7-Max,True
3,3,20,3.7,2.6,1.1,0.02890625,-0.049639249639249636,HAMD-17,HAMD16_core,Qwen3.7-Max,False
3,4,19,2.736842105263158,3.3157894736842106,-0.5789473684210527,0.023026315789473683,0.13788638262322472,HAMD-17,HAMD16_core,Qwen3.7-Max,True
4,0,20,4.1,4.3,-0.2,0.01953125,0.03965710759828407,HAMD-17,HAMD16_core,Qwen3.7-Max,True
4,1,20,3.5,3.3,0.2,0.04296875,0.0483061383061383,HAMD-17,HAMD16_core,Qwen3.7-Max,False
4,2,20,3.5,4.25,-0.75,0.0125,0.08955627705627706,HAMD-17,HAMD16_core,Qwen3.7-Max,True
