scale,analysis_layer,model,strategy,paired_subject_n,mean_paired_repeats,selected_total_MAE,C03_total_MAE,delta_total_MAE,delta_total_MAE_CI_low,delta_total_MAE_CI_high,sign_flip_p,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,hedges_gz,hedges_gz_CI_low,hedges_gz_CI_high,selected_item_NAE,C03_item_NAE,delta_item_NAE,selected_sum_item_AE,C03_sum_item_AE,delta_sum_item_AE,selected_cancellation_ratio,C03_cancellation_ratio,delta_cancellation_ratio,selected_weighted_kappa,C03_weighted_kappa,fold_improvement_rate,fold_delta_MAE_median,fold_delta_MAE_IQR,median_item_route_top_frequency,C03_retention_rate,sign_flip_q,generalization_supported,interpretation
HAMD-17,HAMD16_core,GLM-5.2,A,99,10.0,3.3808080808080807,3.515151515151515,-0.1343434343434343,-0.5606565656565656,0.3191919191919192,0.5592440755924407,-0.5969364205935046,0.5519264446635777,2098.5,0.3171108287772202,-0.05953405275927282,-0.27360281128486125,0.12904504525809413,0.1602114898989899,0.15214646464646464,0.008065025252525252,7.792929292929293,7.494949494949495,0.29797979797979796,0.5708589250255917,0.5286653862411438,0.04219353878444788,0.5835495320744162,0.5796391195701198,0.64,-0.23026315789473684,0.7105263157894737,0.61,0.16125,0.5592440755924407,False,点估计改善但区间跨0或FDR未通过，不支持稳定泛化
HAMD-17,HAMD16_core,Kimi-K2.6,A,99,10.0,3.6959595959595957,4.101010101010101,-0.40505050505050505,-0.851540404040404,0.046515151515150774,0.07989201079892011,-1.7639929317998726,0.08084939088774468,1797.5,0.03720223919191227,-0.17592769455136267,-0.3986726726044537,0.028399741488528033,0.1761363636363636,0.15388257575757575,0.02225378787878788,8.649494949494951,7.515151515151516,1.1343434343434342,0.5528384735198225,0.4304235046659289,0.1224149688538937,0.5009069593530777,0.5730301245032285,0.76,-0.5,0.6842105263157895,0.6799999999999999,0.195,0.23967603239676033,False,点估计改善但区间跨0或FDR未通过，不支持稳定泛化
HAMD-17,HAMD16_core,Qwen3.7-Max,A,99,10.0,3.4555555555555557,3.585858585858586,-0.13030303030303034,-0.5363636363636364,0.286893939393939,0.5326467353264673,-0.6291140289973959,0.530738178739662,2128.0,0.5725719298954348,-0.06274321100510376,-0.2620949024952712,0.13281607046981225,0.16611426767676765,0.14788510101010102,0.018229166666666668,8.180808080808081,7.404040404040404,0.7767676767676767,0.5539524504589238,0.4974535928190117,0.05649885763991215,0.520633922656767,0.5797587155574305,0.62,-0.2,0.6934210526315789,0.68,0.255,0.5592440755924407,False,点估计改善但区间跨0或FDR未通过，不支持稳定泛化
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,A,189,10.0,3.303174603174603,4.084656084656085,-0.7814814814814816,-1.0481481481481483,-0.5068650793650795,9.999000099990002e-05,-5.612157873706941,7.076636276545771e-08,3339.0,3.27609070105943e-07,-0.40659369358721176,-0.5407900181263626,-0.2770680470762795,0.2190696649029982,0.21119929453262784,0.007870370370370368,5.257671957671958,5.068783068783069,0.1888888888888889,0.32545806926759313,0.1719175885842553,0.1535404806833378,0.1943822692770556,0.25255613404454147,0.98,-0.8268136557610242,0.38140113798008546,0.6799999999999999,0.1575,0.00014998500149985002,True,验证折总分MAE显著低于C03，支持当前队列内跨受试者泛化
PHQ-8,PHQ8_complete,GLM-5.2,A,189,10.0,3.2534391534391527,3.253968253968254,-0.0005291005291005131,-0.12116402116402111,0.12433862433862433,0.9986001399860014,-0.008507605295385499,0.9932210159665569,5499.0,0.8667817518899215,-0.0006163651733389683,-0.1425675400264126,0.14102738513510163,0.20108024691358023,0.19466490299823633,0.006415343915343915,4.825925925925927,4.671957671957672,0.15396825396825398,0.30508852699328887,0.27841873000603157,0.02666979698725731,0.22712163382043984,0.2555880255760051,0.48,0.0,0.19736842105263158,0.6799999999999999,0.5125,0.9986001399860015,False,点估计改善但区间跨0或FDR未通过，不支持稳定泛化
PHQ-8,PHQ8_complete,Qwen3.7-Max,A,189,10.0,3.5899470899470898,4.211640211640212,-0.6216931216931217,-0.8730555555555556,-0.3835846560846563,9.999000099990002e-05,-4.871455625735309,2.3445677059216816e-06,2255.5,4.779457235967048e-07,-0.3529307586469635,-0.47558092464906415,-0.22676088127078017,0.2113095238095238,0.20811287477954143,0.003196649029982366,5.071428571428571,4.994708994708994,0.07671957671957673,0.2413730965925177,0.15060568473266886,0.09076741185984884,0.22888306688669258,0.2519087565330002,0.98,-0.6266002844950214,0.43012091038406824,0.74,0.0875,0.00014998500149985002,True,验证折总分MAE显著低于C03，支持当前队列内跨受试者泛化
