scale,analysis_layer,target_method,reference_method,metric,n,delta_target_minus_reference,ci_low,ci_high,p,q,direction
PHQ-8,PHQ189_pooled,CrossAI_Conservative-C,C03_DeepSeek-V4-Pro,item_NAE_subject,189,-0.0179453262786596,-0.0262577160493827,-0.0098098544973545,9.999000099990002e-05,0.0002999700029997,target lower (favorable for error)
PHQ-8,PHQ189_pooled,CrossAI_Conservative-C,C03_DeepSeek-V4-Pro,cancellation_ratio_subject,189,0.0435799033418081,0.0056328248471105,0.0812480836330042,0.0221977802219778,0.0221977802219778,target higher
PHQ-8,PHQ189_pooled,CrossAI_Conservative-C,C03_GLM-5.2,total_MAE_subject,189,0.2931216931216931,0.1703703703703704,0.4169444444444444,9.999000099990002e-05,9.999000099990002e-05,target higher
PHQ-8,PHQ189_pooled,CrossAI_Conservative-C,C03_GLM-5.2,item_NAE_subject,189,-0.001410934744268,-0.0056883818342151,0.0028659611992945,0.529047095290471,0.529047095290471,target lower (favorable for error)
PHQ-8,PHQ189_pooled,CrossAI_Conservative-C,C03_GLM-5.2,cancellation_ratio_subject,189,-0.0629212380799682,-0.0926192050894431,-0.0349099259793704,9.999000099990002e-05,0.0001499850014998,target lower (favorable for error)
PHQ-8,PHQ189_pooled,CrossAI_Conservative-C,C03_Qwen3.7-Max,total_MAE_subject,189,-0.6645502645502644,-0.8571825396825397,-0.4804100529100529,9.999000099990002e-05,9.999000099990002e-05,target lower (favorable for error)
PHQ-8,PHQ189_pooled,CrossAI_Conservative-C,C03_Qwen3.7-Max,item_NAE_subject,189,-0.0148589065255731,-0.021915233686067,-0.0078913139329806,0.0001999800019998,0.0002999700029997,target lower (favorable for error)
PHQ-8,PHQ189_pooled,CrossAI_Conservative-C,C03_Qwen3.7-Max,cancellation_ratio_subject,189,0.0648918071933944,0.0369404818432596,0.0929228442045902,9.999000099990002e-05,0.0001499850014998,target higher
HAMD-17,HAMD17_available,CrossAI_C03,C03_GLM-5.2,total_MAE_subject,99,-0.0888888888888889,-0.4626515151515151,0.2616414141414139,0.6284371562843716,0.6284371562843716,target lower (favorable for error)
HAMD-17,HAMD17_available,CrossAI_C03,C03_GLM-5.2,item_NAE_subject,99,-0.0028102718360071,-0.0098670993018419,0.0042615028966131,0.4341565843415658,0.5823417658234177,target lower (favorable for error)
