scale,analysis_layer,method,item_id,subject_n,item_MAE,item_NAE,coverage,complete_subject_rate,total_MAE,sum_item_AE,cancellation_amount,cancellation_ratio,weighted_kappa,route_family,mechanism_note
PHQ-8,PHQ189_pooled,C03_DeepSeek-V4-Pro,1,189,0.6137566137566137,0.2045855379188712,1.0,1.0,4.084656084656085,5.068783068783069,0.9841269841269842,0.1719175885842553,0.2525561340445414,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_DeepSeek-V4-Pro,2,189,0.5343915343915344,0.1781305114638447,1.0,1.0,4.084656084656085,5.068783068783069,0.9841269841269842,0.1719175885842553,0.2525561340445414,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_DeepSeek-V4-Pro,3,189,0.492063492063492,0.1640211640211639,1.0,1.0,4.084656084656085,5.068783068783069,0.9841269841269842,0.1719175885842553,0.2525561340445414,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_DeepSeek-V4-Pro,4,189,0.8095238095238095,0.2698412698412698,1.0,1.0,4.084656084656085,5.068783068783069,0.9841269841269842,0.1719175885842553,0.2525561340445414,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_DeepSeek-V4-Pro,5,189,0.9153439153439152,0.3051146384479718,1.0,1.0,4.084656084656085,5.068783068783069,0.9841269841269842,0.1719175885842553,0.2525561340445414,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_DeepSeek-V4-Pro,6,189,0.671957671957672,0.2239858906525573,1.0,1.0,4.084656084656085,5.068783068783069,0.9841269841269842,0.1719175885842553,0.2525561340445414,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_DeepSeek-V4-Pro,7,189,0.6984126984126984,0.2328042328042328,1.0,1.0,4.084656084656085,5.068783068783069,0.9841269841269842,0.1719175885842553,0.2525561340445414,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_DeepSeek-V4-Pro,8,189,0.3333333333333333,0.1111111111111111,1.0,1.0,4.084656084656085,5.068783068783069,0.9841269841269842,0.1719175885842553,0.2525561340445414,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_GLM-5.2,1,189,0.492063492063492,0.164021164021164,1.0,1.0,3.253968253968254,4.671957671957672,1.4179894179894177,0.2784187300060315,0.2555880255760051,SingleAI-C03,item error and total cancellation read together
PHQ-8,PHQ189_pooled,C03_GLM-5.2,2,189,0.5343915343915344,0.1781305114638448,1.0,1.0,3.253968253968254,4.671957671957672,1.4179894179894177,0.2784187300060315,0.2555880255760051,SingleAI-C03,item error and total cancellation read together
